category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,DEU,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,1050000.0,1010000.0,966000.0,956000.0,940000.0,939000.0,959000.0,932000.0,924000.0,896000.0,900000.0,917000.0,900000.0,901000.0,887000.0,867000.0,879000.0,852000.0,855000.0,790000.0,833000.0,809000.0,814000.0,832000.0,793000.0,796000.0,801000.0,786000.0,754000.0,712000.0
M.0.EL,DJI,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,326.0,342.0,341.0,341.0,333.0,333.0,337.0,352.0,344.0,345.0,369.0,369.0,402.0,423.0,410.0,417.0,413.0,465.0,501.0,461.0,520.0,476.0,483.0,561.0,377.0,450.0,402.0,392.0,409.0,412.0
M.0.EL,DMA,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,69.4,69.5,69.5,91.5,102.0,117.0,112.0,117.0,84.7,114.0,136.0,145.0,137.0,136.0,135.0,142.0,146.0,149.0,144.0,151.0,153.0,161.0,164.0,166.0,172.0,175.0,175.0,161.0,166.0,167.0
M.0.EL,DNK,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,54900.0,65500.0,59600.0,61700.0,65700.0,62700.0,76000.0,66600.0,62400.0,59900.0,55600.0,57300.0,56900.0,62100.0,56500.0,53000.0,60900.0,56100.0,52600.0,50200.0,50700.0,45700.0,41200.0,43100.0,38900.0,36500.0,38300.0,36200.0,36300.0,32500.0
M.0.EL,DOM,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,8890.0,10500.0,12100.0,13700.0,15100.0,17700.0,17700.0,17000.0,16200.0,16600.0,18000.0,17500.0,18500.0,18000.0,14300.0,13800.0,14100.0,14200.0,13900.0,12900.0,12800.0,13200.0,13300.0,13100.0,13600.0,14700.0,15300.0,15200.0,15600.0,16000.0
M.0.EL,DZA,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,82100.0,84900.0,88000.0,89600.0,93500.0,102000.0,104000.0,92300.0,110000.0,95600.0,95100.0,90900.0,95500.0,100000.0,96400.0,116000.0,111000.0,114000.0,116000.0,123000.0,122000.0,126000.0,140000.0,144000.0,157000.0,166000.0,167000.0,170000.0,179000.0,184000.0
M.0.EL,ECU,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,18300.0,17700.0,23500.0,25800.0,15200.0,24400.0,26300.0,20400.0,24000.0,22900.0,21700.0,24300.0,25700.0,28000.0,30200.0,31500.0,30500.0,35300.0,31400.0,34700.0,37400.0,39800.0,38300.0,40600.0,44800.0,42500.0,41500.0,41200.0,43700.0,42500.0
M.0.EL,EGY,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,87800.0,87200.0,87200.0,97500.0,87600.0,96300.0,93200.0,104000.0,114000.0,115000.0,127000.0,120000.0,125000.0,147000.0,153000.0,173000.0,184000.0,193000.0,204000.0,211000.0,211000.0,225000.0,222000.0,219000.0,234000.0,231000.0,244000.0,262000.0,263000.0,261000.0
M.0.EL,ERI,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,686.0,632.0,636.0,690.0,709.0,776.0,852.0,762.0,600.0,639.0,610.0,588.0,564.0,666.0,717.0,717.0,513.0,525.0,382.0,467.0,467.0,528.0,585.0,604.0,613.0,615.0,622.0,654.0,712.0,717.0
M.0.EL,ESP,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,231000.0,241000.0,250000.0,241000.0,254000.0,267000.0,255000.0,267000.0,276000.0,300000.0,311000.0,313000.0,333000.0,338000.0,355000.0,370000.0,361000.0,369000.0,337000.0,297000.0,284000.0,285000.0,279000.0,253000.0,255000.0,272000.0,261000.0,275000.0,270000.0,252000.0
